,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
0,3898.0,753.0,11.0,66.0,172.5,0,0,13,0,0,121,12
2,279.0,763.0,2.0,4.0,3.5,0,0,25,21,0,99,3
3,1268.0,972.0,5.0,255.0,105.5,1,0,14,0,0,118,4
4,207689.0,258.0,10.0,174.0,14238.5,1,0,14,0,0,113,3
5,608419.0,699.0,7.0,363.0,16770.0,1,0,11,0,0,75,0
6,831064.0,2369.0,2.0,2534.0,4463.0,1,0,10,0,0,78,0
7,164.0,2908.0,0.0,6.0,0.0,0,4,0,0,0,0,0
8,125.0,6340.0,0.0,5.0,44.0,0,2,10,1,0,54,2
9,432.0,5803.0,0.0,5.0,21.0,0,0,7,0,0,28,0
10,17872.0,258.0,1.0,12.0,3894.5,1,0,5,1,0,51,3
11,2360427.0,812.0,7.0,818.0,54777.0,1,0,13,0,0,39,0
12,1403392.0,402.0,18.0,419.0,45786.0,1,0,19,0,0,126,1
13,53.0,3469.0,0.0,5.0,1.0,0,2,0,0,0,0,0
14,43.0,1473.0,0.0,5.0,2.0,0,4,13,1,4,0,0
15,819.0,381.0,1.0,0.0,,0,0,0,0,0,0,0
16,1180174.0,288.0,12.0,210.0,14765.0,1,0,9,2,0,122,0
17,91.0,6230.0,0.0,22.0,0.5,0,5,0,0,0,0,0
18,138.0,6573.0,0.0,4.0,16.5,0,3,6,0,0,19,0
19,3694.0,3845.0,10.0,249.0,181.0,1,0,17,0,0,40,0
20,276.0,778.0,0.0,9.0,93.0,1,0,7,0,0,0,0
21,278624.0,1445.0,4.0,106.0,6362.0,1,0,14,0,0,42,0
22,1042.0,459.0,4.0,170.0,9.0,1,0,25,2,0,99,5
23,214.0,6301.0,0.0,22.0,7.0,0,1,0,0,0,0,0
24,1754620.0,1645.0,9.0,1176.0,14875.0,1,0,19,0,0,66,2
25,82.0,4483.0,0.0,4.0,4.5,0,0,0,0,0,0,0
26,2193277.0,3869.0,6.0,1155.0,17379.0,1,0,10,0,0,95,0
27,366.0,648.0,2.0,9.0,57.0,1,0,21,0,0,40,3
28,78.0,5138.0,0.0,4.0,3.5,0,4,0,0,0,0,0
29,85.0,6147.0,0.0,10.0,1.0,0,0,10,0,0,0,0
30,104.0,6012.0,0.0,4.0,1.5,0,5,0,0,0,0,0
31,1696.0,1665.0,8.0,14.0,308.5,1,0,8,1,0,96,1
32,50.0,1078.0,0.0,6.0,1.0,0,1,0,0,0,0,0
33,53.0,1978.0,0.0,23.0,5.0,0,4,0,0,0,4,0
34,76.0,5951.0,0.0,22.0,2.5,0,5,9,0,5,0,0
